id-sum;anio;mes;dia;fecha;franja;tipo;subtipo;uso_arma;uso_moto;barrio;comuna;latitud;longitud;cantidad
88504;2023;MAYO;LUNES;22/5/2023;20;Robo;Robo total;SI;SI;MATADEROS;CC-09;-34,65326;-58,49941;1
88505;2023;FEBRERO;JUEVES;16/2/2023;7;Robo;Robo total;NO;NO;MATADEROS;CC-09;-34,652053;-58,501304;1
88506;2023;ABRIL;DOMINGO;16/4/2023;17;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,652776;-58,499673;1
88507;2023;JULIO;VIERNES;21/7/2023;8;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,65259498;-58,49950385;1
88508;2023;JULIO;SABADO;29/7/2023;9;Robo;Robo total;NO;NO;MATADEROS;CC-09;-34,652682;-58,499503;1
88509;2023;SEPTIEMBRE;SABADO;16/9/2023;8;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,652053;-58,501304;1
88510;2023;OCTUBRE;JUEVES;19/10/2023;7;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,652027;-58,499365;1
88511;2023;OCTUBRE;DOMINGO;29/10/2023;9;Hurto;Hurto automotor;NO;NO;MATADEROS;CC-09;-34,6529138;-58,49977747;1
88512;2023;NOVIEMBRE;LUNES;13/11/2023;8;Robo;Robo total;NO;NO;MATADEROS;CC-09;-34,65212218;-58,50117754;1
88513;2023;DICIEMBRE;MIERCOLES;20/12/2023;19;Robo;Robo total;SI;SI;MATADEROS;CC-09;-34,652053;-58,501304;1
88514;2023;FEBRERO;VIERNES;10/2/2023;15;Robo;Robo total;NO;NO;MATADEROS;CC-09;-34,6526;-58,500862;1
88515;2023;MARZO;DOMINGO;26/3/2023;20;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,652949;-58,500486;1
88516;2023;ABRIL;DOMINGO;30/4/2023;17;Robo;Robo total;NO;NO;MATADEROS;CC-09;-34,653586;-58,500643;1
88517;2023;OCTUBRE;DOMINGO;29/10/2023;20;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,652949;-58,500486;1
88518;2023;JULIO;SABADO;1/7/2023;20;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,662321;-58,489342;1
88519;2023;MAYO;VIERNES;19/5/2023;7;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,66316053;-58,48869573;1
88520;2023;JUNIO;MIERCOLES;28/6/2023;10;Robo;Robo total;NO;NO;MATADEROS;CC-09;-34,663197;-58,488689;1
88521;2023;ENERO;VIERNES;20/1/2023;15;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,663345;-58,48895;1
88522;2023;FEBRERO;SABADO;4/2/2023;22;Robo;Robo total;NO;NO;MATADEROS;CC-09;-34,662911;-58,48942;1
88523;2023;FEBRERO;JUEVES;23/2/2023;9;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,662586;-58,489605;1
88524;2023;JUNIO;VIERNES;9/6/2023;3;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,6630331;-58,48931134;1
88525;2023;JULIO;MIERCOLES;12/7/2023;7;Robo;Robo total;NO;SI;MATADEROS;CC-09;-34,662668;-58,489769;1
88526;2023;SEPTIEMBRE;JUEVES;14/9/2023;7;Robo;Robo total;NO;NO;MATADEROS;CC-09;-34,66335108;-58,48893916;1
88527;2023;NOVIEMBRE;MIERCOLES;1/11/2023;9;Hurto;Hurto automotor;NO;NO;MATADEROS;CC-09;-34,66266;-58,48977;1
88528;2023;NOVIEMBRE;VIERNES;24/11/2023;8;Robo;Robo total;SI;NO;MATADEROS;CC-09;-34,663345;-58,48895;1
88529;2023;DICIEMBRE;MIERCOLES;27/12/2023;21;Robo;Robo total;SI;NO;MATADEROS;CC-09;-34,663345;-58,48895;1
88530;2023;ABRIL;JUEVES;6/4/2023;3;Robo;Robo total;NO;NO;MATADEROS;CC-09;-34,663086;-58,489339;1
88531;2023;NOVIEMBRE;DOMINGO;12/11/2023;23;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,661304;-58,489049;1
88532;2023;MAYO;DOMINGO;28/5/2023;7;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,66131727;-58,48900818;1
88533;2023;JUNIO;SABADO;3/6/2023;19;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,661363;-58,488974;1
88534;2023;JUNIO;JUEVES;15/6/2023;7;Robo;Robo total;NO;NO;MATADEROS;CC-09;-34,662014;-58,488895;1
88535;2023;NOVIEMBRE;JUEVES;9/11/2023;16;Hurto;Hurto automotor;NO;NO;MATADEROS;CC-09;-34,66207;-58,48904293;1
88536;2023;ABRIL;LUNES;17/4/2023;13;Hurto;Hurto automotor;NO;NO;MATADEROS;CC-09;-34,661322;-58,488902;1
88537;2023;JULIO;DOMINGO;23/7/2023;11;Robo;Robo total;NO;NO;MATADEROS;CC-09;-34,66147606;-58,48831667;1
88538;2023;AGOSTO;MARTES;15/8/2023;12;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,661393;-58,488262;1
88539;2023;DICIEMBRE;SABADO;2/12/2023;19;Robo;Robo total;SI;NO;MATADEROS;CC-09;-34,66148384;-58,48879182;1
88540;2023;NOVIEMBRE;LUNES;27/11/2023;17;Robo;Robo total;SI;NO;MATADEROS;CC-09;-34,661661;-58,490949;1
88541;2023;ENERO;MIERCOLES;11/1/2023;17;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,665835;-58,500343;1
88542;2023;ABRIL;VIERNES;21/4/2023;18;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,665656;-58,499482;1
88543;2023;NOVIEMBRE;MIERCOLES;22/11/2023;10;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,6661;-58,500628;1
88544;2023;FEBRERO;JUEVES;16/2/2023;17;Robo;Robo total;NO;NO;MATADEROS;CC-09;-34,66581;-58,500202;1
88545;2023;MAYO;MIERCOLES;31/5/2023;4;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,66609;-58,49868;1
88546;2023;JULIO;MIERCOLES;26/7/2023;12;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,666113;-58,500612;1
88547;2023;AGOSTO;DOMINGO;13/8/2023;5;Robo;Robo total;NO;NO;MATADEROS;CC-09;-34,66597745;-58,49928931;1
88548;2023;AGOSTO;DOMINGO;27/8/2023;9;Robo;Robo total;NO;NO;MATADEROS;CC-09;-34,665955;-58,500449;1
88549;2023;SEPTIEMBRE;LUNES;4/9/2023;22;Robo;Robo total;SI;NO;MATADEROS;CC-09;-34,666214;-58,498892;1
88550;2023;SEPTIEMBRE;VIERNES;15/9/2023;15;Robo;Robo total;NO;NO;MATADEROS;CC-09;-34,66612194;-58,50063411;1
88551;2023;SEPTIEMBRE;SABADO;16/9/2023;2;Robo;Robo total;NO;NO;MATADEROS;CC-09;-34,666039;-58,498618;1
88552;2023;SEPTIEMBRE;LUNES;18/9/2023;21;Robo;Robo total;SI;NO;MATADEROS;CC-09;-34,66613718;-58,49884318;1
88553;2023;ENERO;LUNES;16/1/2023;11;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,654877;-58,497204;1
88554;2023;ABRIL;JUEVES;27/4/2023;13;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,654444;-58,497219;1
88555;2023;SEPTIEMBRE;MIERCOLES;27/9/2023;7;Robo;Robo total;NO;NO;MATADEROS;CC-09;-34,653948;-58,496881;1
88556;2023;OCTUBRE;JUEVES;19/10/2023;2;Robo;Robo total;NO;NO;MATADEROS;CC-09;-34,65404617;-58,4968861;1
88557;2023;OCTUBRE;MARTES;24/10/2023;16;Robo;Robo automotor;SI;NO;MATADEROS;CC-09;-34,654854;-58,49787;1
88558;2023;JUNIO;LUNES;19/6/2023;9;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,655099;-58,497053;1
