"id-mapa","anio","mes","dia","fecha","franja","tipo","subtipo","uso_arma","uso_moto","barrio","comuna","latitud","longitud","cantidad"
339048,"2019","ABRIL","LUNES","2019-04-15",19,"Hurto","Hurto total","NO","NO","LINIERS",9,"-34.645908","-58.503783",1
339049,"2019","AGOSTO","VIERNES","2019-08-16",6,"Robo","Robo total","SI","SI","MATADEROS",9,"-34.646028","-58.502733",1
339050,"2019","AGOSTO","DOMINGO","2019-08-25",22,"Robo","Robo total","SI","NO","LINIERS",9,"-34.646073","-58.50364",1
339051,"2019","ABRIL","MARTES","2019-04-30",16,"Robo","Robo total","NO","NO","LINIERS",9,"-34.645585","-58.504187",1
339052,"2019","MAYO","SABADO","2019-05-04",21,"Hurto","Hurto total","NO","NO","LINIERS",9,"-34.645731","-58.505214",1
339053,"2019","MAYO","JUEVES","2019-05-09",8,"Hurto","Hurto total","NO","NO","LINIERS",9,"-34.645494","-58.504426",1
339054,"2019","MARZO","SABADO","2019-03-30",0,"Hurto","Hurto total","NO","NO","LINIERS",9,"-34.646236","-58.50512",1
339055,"2019","DICIEMBRE","VIERNES","2019-12-13",13,"Hurto","Hurto total","NO","NO","LINIERS",9,"-34.645444","-58.503933",1
339056,"2019","JULIO","LUNES","2019-07-08",0,"Hurto","Hurto total","NO","NO","LINIERS",9,"-34.645843","-58.50427",1
339057,"2019","OCTUBRE","MARTES","2019-10-01",10,"Robo","Robo total","SI","NO","LINIERS",9,"-34.646316","-58.503336",1
339058,"2019","DICIEMBRE","VIERNES","2019-12-06",0,"Robo","Robo total","NO","NO","LINIERS",9,"-34.645736","-58.503297",1
339059,"2019","JULIO","DOMINGO","2019-07-07",0,"Robo","Robo total","NO","NO","LINIERS",9,"-34.647162","-58.505457",1
339060,"2019","OCTUBRE","DOMINGO","2019-10-27",10,"Hurto","Hurto total","NO","NO","MATADEROS",9,"-34.647809","-58.506367",1
339061,"2019","SEPTIEMBRE","JUEVES","2019-09-05",13,"Hurto","Hurto total","NO","NO","LINIERS",9,"-34.646661","-58.504586",1
339062,"2019","FEBRERO","JUEVES","2019-02-07",19,"Hurto","Hurto automotor","NO","NO","LINIERS",9,"-34.646949","-58.507618",1
339063,"2019","MAYO","VIERNES","2019-05-24",18,"Hurto","Hurto total","NO","NO","LINIERS",9,"-34.645671","-58.507363",1
339064,"2019","ABRIL","LUNES","2019-04-22",21,"Hurto","Hurto total","NO","NO","LINIERS",9,"-34.645765","-58.507361",1
339065,"2019","ABRIL","LUNES","2019-04-15",0,"Robo","Robo total","NO","NO","LINIERS",9,"-34.646844","-58.507899",1
339066,"2019","ENERO","LUNES","2019-01-28",20,"Hurto","Hurto automotor","NO","NO","LINIERS",9,"-34.647373","-58.50708",1
339067,"2019","MARZO","MIERCOLES","2019-03-27",11,"Robo","Robo total","NO","SI","LINIERS",9,"-34.648351","-58.507672",1
339068,"2019","NOVIEMBRE","MIERCOLES","2019-11-27",20,"Hurto","Hurto total","NO","NO","LINIERS",9,"-34.646346","-58.504917",1
339069,"2019","MARZO","DOMINGO","2019-03-24",15,"Robo","Robo automotor","SI","NO","LINIERS",9,"-34.645785","-58.505682",1
339070,"2019","MAYO","JUEVES","2019-05-02",12,"Robo","Robo total","NO","SI","MATADEROS",9,"-34.647241","-58.505153",1
339071,"2019","JULIO","VIERNES","2019-07-19",14,"Hurto","Hurto total","NO","NO","LINIERS",9,"-34.646934","-58.504805",1
339072,"2019","DICIEMBRE","MIERCOLES","2019-12-18",0,"Hurto","Hurto total","NO","NO","LINIERS",9,"-34.649193","-58.519111",1
339073,"2019","ENERO","VIERNES","2019-01-25",23,"Hurto","Hurto total","NO","NO","LINIERS",9,"-34.646144","-58.520008",1
339074,"2019","ABRIL","SABADO","2019-04-13",18,"Robo","Robo total","NO","NO","LINIERS",9,"-34.647473","-58.518383",1
339075,"2019","MAYO","DOMINGO","2019-05-26",13,"Robo","Robo total","NO","NO","LINIERS",9,"-34.647197","-58.518742",1
339076,"2019","AGOSTO","MARTES","2019-08-20",11,"Robo","Robo total","NO","NO","LINIERS",9,"-34.644955","-58.518633",1
339077,"2019","ENERO","SABADO","2019-01-12",15,"Robo","Robo total","NO","NO","LINIERS",9,"-34.647905","-58.519816",1
339078,"2019","MAYO","VIERNES","2019-05-10",15,"Robo","Robo total","NO","NO","LINIERS",9,"-34.648185","-58.519074",1
339079,"2019","NOVIEMBRE","MIERCOLES","2019-11-13",0,"Hurto","Hurto total","NO","NO","LINIERS",9,"-34.64632","-58.520154",1
339080,"2019","JUNIO","SABADO","2019-06-08",12,"Hurto","Hurto total","NO","NO","LINIERS",9,"-34.647702","-58.519484",1
339081,"2019","NOVIEMBRE","VIERNES","2019-11-29",14,"Robo","Robo total","NO","NO","LINIERS",9,"-34.646285","-58.519928",1
339082,"2019","SEPTIEMBRE","LUNES","2019-09-09",13,"Hurto","Hurto total","NO","NO","LINIERS",9,"-34.644823","-58.518541",1
339083,"2019","AGOSTO","VIERNES","2019-08-02",21,"Robo","Robo total","NO","NO","LINIERS",9,"-34.647428","-58.519937",1
